,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,GarageType,GarageCond,SaleType,SaleCondition,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageQual,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
146,1,4,3,3,0,3,2,0,2,1,13,14,2,0,5,5,8,4,51.0,6120,5,0.0,3,3,715,3,1,875,3,5,0,1,1,2,105000,48,2,78,16,78.0
147,5,3,0,3,1,8,2,0,5,1,12,13,1,2,3,5,8,4,79.87755102040816,9505,7,180.0,4,4,884,5,1,2035,4,8,4,3,2,3,222500,192,3,9,9,9.0
148,0,3,3,3,4,20,2,0,2,1,12,13,1,2,6,3,8,4,63.0,7500,7,120.0,3,4,1080,5,1,1080,4,6,0,0,0,0,141000,0,2,4,3,0.0
149,4,4,3,3,4,3,2,0,0,1,8,8,2,0,5,5,8,4,57.509803921568626,6240,5,0.0,3,4,896,4,1,1344,3,7,0,1,1,2,115000,314,1,70,56,70.0
150,0,3,3,3,0,5,2,0,2,1,6,6,2,1,1,5,8,4,120.0,10356,5,0.0,3,3,969,3,1,969,3,5,0,1,2,3,122000,0,2,32,32,32.0
151,0,3,3,3,4,16,2,0,2,3,12,13,3,2,1,5,6,5,107.0,13891,8,436.0,4,5,1710,5,1,1710,4,6,4,2,3,3,372402,102,3,1,0,1.0
152,5,3,0,3,1,14,2,0,5,1,6,6,1,1,1,5,8,4,81.28888888888889,14803,6,252.0,3,3,825,4,1,1993,3,8,4,2,2,3,190000,66,3,35,35,35.0
153,0,3,3,3,4,4,2,0,2,0,3,10,2,1,1,5,8,4,83.46153846153847,13500,6,0.0,3,4,1602,4,1,1252,3,4,4,2,2,3,235000,409,2,48,33,48.0
154,1,4,3,3,0,17,2,0,2,1,13,14,2,0,5,1,8,3,84.0,11340,6,0.0,3,3,1200,3,1,1200,3,7,0,1,1,2,125000,228,1,83,56,83.0
155,4,3,3,3,0,7,0,0,0,1,13,14,2,0,6,3,8,4,60.0,9600,6,0.0,3,3,572,2,0,1096,3,5,0,0,0,0,79000,136,1,84,58,0.0
156,0,3,3,3,4,12,2,0,2,3,13,14,2,1,5,5,8,4,60.0,7200,5,0.0,3,0,0,3,1,1040,3,5,0,1,2,3,109500,0,1,56,56,56.0
157,5,3,3,3,0,23,2,0,5,1,12,13,1,2,3,5,6,5,92.0,12003,8,84.0,4,5,774,5,1,1968,5,8,4,3,3,3,269500,75,3,1,0,1.0
158,5,1,3,3,0,21,2,0,5,1,12,13,2,2,1,5,8,4,100.0,12552,7,0.0,4,4,991,5,1,1947,4,8,4,2,2,3,254900,136,3,6,5,6.0
159,5,3,0,1,0,8,2,0,5,1,12,13,1,2,1,5,6,5,134.0,19378,7,456.0,4,4,1392,5,1,2462,4,9,4,2,2,3,320000,539,4,1,0,0.0
160,0,3,0,3,1,24,2,0,2,1,9,10,2,2,1,5,8,4,59.714285714285715,11120,6,0.0,3,4,1232,3,1,1232,3,6,0,1,2,3,162500,0,2,24,24,24.0
161,5,3,0,3,4,16,2,0,5,1,12,13,1,2,3,5,8,4,110.0,13688,9,664.0,4,5,1572,5,1,2668,5,10,4,3,3,3,412500,400,4,5,4,5.0
162,0,3,3,3,0,16,2,0,2,1,12,13,1,2,1,5,6,5,95.0,12182,7,226.0,4,4,1541,5,1,1541,4,7,4,2,2,3,220000,70,2,5,5,5.0
163,3,3,3,3,4,17,2,0,1,1,8,8,2,1,6,3,8,4,55.0,5500,4,0.0,3,3,882,5,1,882,3,4,0,0,0,0,103200,0,1,51,51,0.0
164,2,4,3,3,0,17,2,0,2,1,8,8,2,0,5,5,8,4,40.0,5400,6,0.0,3,3,1149,4,1,1616,4,5,0,1,1,3,152000,183,2,81,3,81.0
165,14,3,3,3,4,7,2,1,0,1,13,14,2,0,6,3,8,4,62.0,10106,5,0.0,3,3,644,4,1,1355,3,6,0,0,0,0,127500,140,3,68,9,0.0
166,0,3,0,3,4,4,2,0,2,3,13,14,2,1,1,5,0,4,83.46153846153847,10708,5,0.0,4,3,1617,5,1,1867,3,7,4,3,1,3,190000,618,2,54,16,54.0
167,5,3,3,3,4,16,2,0,5,1,12,13,3,2,1,5,6,5,86.0,10562,8,300.0,4,5,1582,5,1,2161,5,8,4,3,3,3,325624,298,3,0,0,0.0
168,5,3,0,3,4,8,2,0,5,1,12,13,2,2,1,5,8,4,62.0,8244,7,0.0,4,4,840,5,1,1720,4,7,4,3,2,3,183500,148,3,3,3,3.0
169,0,3,0,3,0,23,2,0,2,3,9,10,1,1,1,5,8,4,80.13333333333334,16669,8,653.0,4,4,1686,3,1,1707,3,6,3,2,2,3,228000,638,3,25,25,25.0
170,4,4,0,3,4,17,1,0,0,1,8,8,2,1,5,5,8,4,62.788990825688074,12358,5,0.0,3,3,720,3,1,1382,3,7,0,1,2,3,128500,237,2,66,57,16.0
171,0,3,0,3,0,12,2,0,2,3,3,10,3,1,1,5,8,4,141.0,31770,6,112.0,3,3,1080,2,1,1656,3,7,4,3,2,3,215000,272,2,50,50,50.0
172,12,3,0,3,4,22,2,4,5,1,6,6,2,2,1,5,8,4,44.0,5306,7,0.0,4,4,1064,4,1,1767,4,5,3,2,2,4,239000,476,3,19,19,19.0
173,0,3,0,3,4,12,2,0,2,1,14,15,0,1,1,5,0,4,80.0,10197,6,491.0,3,3,1362,3,1,1362,3,6,3,1,2,3,163000,20,3,47,47,47.0
174,0,3,0,3,4,23,2,0,2,1,12,10,3,1,1,5,8,4,47.0,12416,6,132.0,3,4,1606,3,1,1651,3,7,3,3,2,3,184000,192,3,22,22,22.0
175,0,3,3,3,0,7,2,0,2,1,14,15,2,1,1,5,8,4,84.0,12615,6,0.0,3,3,1202,3,1,2158,4,7,4,1,2,3,243000,68,3,57,6,57.0
176,5,3,0,3,0,4,2,0,5,1,9,10,1,2,1,5,8,4,97.0,10029,6,268.0,4,4,1151,3,1,2060,3,8,3,1,2,3,211000,420,4,19,18,19.0
177,4,3,3,3,4,19,2,0,0,1,8,8,2,1,1,5,8,4,74.4375,13650,5,0.0,4,3,1052,5,1,1920,4,8,4,1,2,3,172500,0,3,48,48,48.0
178,0,3,0,3,1,22,2,0,2,3,12,13,3,2,1,5,6,5,63.0,17423,9,748.0,5,5,2216,5,1,2234,5,9,4,3,3,3,501837,60,3,1,0,0.0
179,1,4,3,3,4,17,2,0,2,1,13,14,2,1,5,5,8,4,60.0,8520,5,0.0,4,3,968,3,1,968,3,5,0,1,2,2,100000,184,1,84,1,72.0
180,12,1,3,3,4,21,2,3,5,1,8,8,1,2,5,5,8,4,64.66666666666667,2117,6,456.0,4,4,756,5,1,1525,4,5,3,1,2,3,177000,0,3,7,7,7.0
181,6,3,3,3,4,6,2,0,5,1,11,12,2,0,5,5,8,4,54.0,7588,7,0.0,3,2,793,4,1,1802,3,9,4,1,1,2,200100,40,2,86,56,86.0
182,0,3,3,3,4,7,0,0,2,3,13,14,1,2,1,5,8,4,60.0,9060,5,98.0,3,0,0,5,1,1340,3,7,4,2,1,3,120000,296,1,50,1,50.0
183,4,4,3,3,4,17,2,0,0,1,12,13,2,2,5,5,8,4,63.0,11426,7,0.0,3,4,1362,5,1,2082,4,6,0,1,2,3,200000,518,3,5,5,5.0
184,4,3,0,3,4,3,6,0,0,1,0,10,2,2,1,5,8,4,92.0,7438,5,0.0,3,2,504,4,1,1252,3,5,0,1,2,3,127000,104,1,98,15,20.0
185,7,4,1,3,4,17,0,0,3,1,13,14,2,0,5,5,8,4,90.0,22950,10,0.0,4,3,1107,5,1,3608,5,12,3,1,3,5,475000,670,3,114,13,13.0
186,8,3,0,3,1,11,2,0,7,1,6,6,2,2,1,5,8,4,70.08333333333333,9947,7,0.0,3,4,1188,5,1,1217,4,6,0,1,2,3,173000,195,3,19,18,19.0
187,4,3,3,3,4,17,2,0,0,1,6,6,2,1,5,1,8,4,60.0,10410,5,0.0,3,2,660,5,1,1656,3,8,0,1,1,2,135000,140,3,93,22,93.0
188,10,3,3,0,4,20,1,2,6,1,9,10,3,1,5,5,8,2,64.0,7018,5,275.0,3,4,1086,3,1,1224,3,6,3,1,2,3,153337,120,4,30,30,30.0
189,11,3,3,3,4,22,2,4,2,1,5,5,2,2,1,5,8,4,41.0,4923,8,0.0,4,5,1593,5,1,1593,5,5,4,3,2,3,286000,344,3,7,6,7.0
190,6,3,3,0,4,6,2,0,5,3,3,3,2,1,5,5,8,4,70.0,10570,8,0.0,4,4,853,3,1,2727,4,10,3,1,2,3,315000,74,3,75,13,75.0
191,5,3,0,3,1,12,2,0,5,1,6,6,1,1,1,5,8,4,76.46236559139786,7472,7,138.0,3,3,725,4,1,1479,4,7,0,3,2,3,184000,32,3,35,3,35.0
192,0,3,0,3,4,5,2,0,2,1,12,13,2,2,1,5,8,4,68.0,9017,7,0.0,4,4,1431,5,1,1431,4,6,0,3,2,3,192000,35,3,10,10,10.0
193,12,4,3,3,4,7,2,3,5,1,12,13,3,2,5,5,8,4,24.0,2522,7,50.0,4,4,970,5,1,1709,4,7,0,1,2,3,130000,40,2,2,2,2.0
194,0,3,0,3,4,5,2,0,2,3,6,6,2,1,5,5,8,4,60.0,7180,5,0.0,3,3,864,3,1,864,3,5,0,1,1,3,127000,0,1,36,36,19.0
195,12,3,3,3,2,13,2,3,5,1,9,2,2,1,1,5,8,4,24.0,2280,6,0.0,3,4,855,3,1,1456,3,7,3,1,2,3,148500,87,3,33,33,33.0
196,0,3,3,3,4,21,2,0,2,3,5,5,3,2,1,5,6,5,79.0,9416,7,205.0,5,5,1726,5,1,1726,5,8,4,3,3,3,311872,575,3,0,0,0.0
197,7,3,3,3,0,12,0,0,5,1,11,12,2,2,5,5,8,0,174.0,25419,8,0.0,4,3,1360,4,1,3112,4,8,5,1,2,3,235000,568,4,88,16,88.0
198,7,4,3,3,0,17,2,0,3,1,13,14,2,1,6,3,8,0,92.0,5520,6,0.0,3,3,755,5,1,2229,3,8,0,0,0,0,104000,228,1,97,59,0.0
199,0,3,3,3,4,16,2,0,2,3,12,13,1,2,1,5,8,4,76.0,9591,8,262.0,4,5,1713,5,1,1713,5,7,4,3,3,3,274900,196,3,5,4,5.0
200,0,4,3,3,0,7,2,0,2,1,12,13,2,2,1,5,8,4,80.0,8546,4,0.0,3,4,1121,5,1,1121,3,5,0,2,2,3,140000,196,2,7,6,7.0
201,0,3,3,3,4,11,2,0,2,1,9,10,2,1,5,5,8,4,75.0,10125,6,0.0,3,3,1196,3,1,1279,3,6,2,1,2,3,171500,321,3,31,31,28.0
202,4,3,3,3,0,17,0,0,0,1,8,8,2,0,1,5,0,4,50.0,7000,6,0.0,3,2,617,4,1,1310,3,6,0,1,1,3,112000,126,2,82,56,82.0
203,11,4,3,3,4,5,2,4,2,1,12,13,1,2,1,5,8,4,71.68253968253968,4438,6,205.0,4,4,848,5,1,848,4,3,4,2,2,3,149000,149,2,4,4,4.0
204,4,4,3,3,4,17,2,0,0,1,0,0,2,1,5,5,8,4,50.0,3500,5,0.0,3,3,720,3,1,1284,3,5,0,1,1,3,110000,35,2,62,59,61.0
205,0,3,3,3,0,8,2,0,2,1,6,6,2,2,1,5,8,4,99.0,11851,7,0.0,3,4,1424,5,1,1442,3,5,0,2,2,3,180500,542,2,19,19,19.0
206,0,3,0,3,1,19,5,0,2,1,6,6,2,1,1,5,8,4,40.0,13673,5,0.0,3,3,1140,3,1,1696,3,8,3,2,1,3,143900,30,2,45,45,45.0
207,0,3,0,3,4,12,2,0,2,1,13,14,2,2,1,5,8,4,76.46236559139786,12493,4,0.0,3,3,1100,3,1,1100,3,6,1,2,1,3,141000,355,2,48,48,48.0
208,5,3,0,2,4,20,2,0,5,1,9,10,1,1,1,5,8,4,71.5,14364,7,128.0,4,4,1157,5,1,2062,3,7,4,3,2,3,277000,269,4,19,18,19.0
209,0,3,3,3,4,12,2,0,2,3,6,6,3,1,1,2,8,4,75.0,8250,6,260.0,3,4,1092,5,1,1092,3,6,0,2,2,3,145000,0,2,44,44,44.0
210,1,3,3,3,4,7,2,0,2,1,11,12,2,1,6,3,8,4,67.0,5604,5,0.0,3,3,864,3,0,864,3,5,0,0,0,0,98000,96,2,83,58,0.0
211,0,3,3,3,0,7,2,0,2,1,12,13,2,2,1,5,8,4,83.0,10420,6,0.0,3,4,1212,5,1,1212,4,6,0,2,2,3,186000,122,2,1,1,1.0
212,5,1,3,3,4,21,2,0,5,1,12,13,2,2,1,5,6,5,72.0,8640,7,0.0,3,4,900,5,1,1852,4,7,3,2,2,3,252678,276,4,0,0,0.0
213,0,3,1,3,1,5,2,0,2,1,12,13,2,2,1,5,8,4,43.0,13568,5,0.0,3,4,990,5,1,990,3,5,0,1,2,3,156000,224,2,11,11,10.0
214,5,3,0,3,2,5,2,0,5,1,6,6,1,1,1,5,8,4,71.68253968253968,10900,6,153.0,3,4,689,5,1,1392,3,6,0,3,1,3,161750,36,2,33,33,33.0
215,0,3,0,3,4,12,2,0,2,1,6,6,1,1,1,5,8,4,72.0,10011,5,64.0,3,3,1070,3,1,1236,4,6,2,1,1,3,134450,0,2,49,10,49.0
216,0,3,3,3,4,5,2,0,2,1,12,13,1,2,1,5,8,4,65.0,8450,7,266.0,4,4,1436,5,1,1436,4,8,0,1,2,3,210000,237,3,4,4,4.0
217,6,4,3,3,4,17,2,0,5,1,8,8,2,1,5,5,8,3,57.0,9906,4,0.0,3,3,686,2,0,1328,3,8,0,1,1,3,107000,232,1,81,56,66.0
218,4,3,0,3,0,6,2,0,0,1,12,13,1,1,1,5,8,4,71.8048780487805,15660,7,312.0,4,3,798,5,1,1954,4,8,3,1,2,3,311500,269,3,69,2,69.0
219,11,3,3,3,4,0,2,4,2,1,12,13,1,2,1,5,6,5,43.0,3010,7,16.0,4,4,1248,5,1,1248,4,5,0,3,2,3,167240,108,2,1,0,1.0
220,0,3,0,3,4,5,2,0,2,1,12,13,2,2,1,5,6,5,73.0,8990,7,0.0,4,4,1498,5,1,1498,4,5,0,2,2,3,204900,384,2,0,0,0.0
221,5,3,0,3,4,8,2,0,5,1,12,13,2,2,3,5,4,4,79.87755102040816,8068,6,0.0,4,4,1010,5,1,2267,4,8,3,2,2,3,200000,166,3,7,7,7.0
222,5,3,3,3,4,14,6,0,5,1,12,13,2,1,1,5,8,4,85.0,11475,6,0.0,3,4,713,3,1,1552,3,6,3,2,2,3,179900,417,4,31,31,31.0
223,0,3,3,3,2,12,2,0,2,1,6,6,2,1,5,5,8,0,70.0,10500,4,0.0,3,3,864,4,1,864,3,4,0,1,2,3,97000,216,1,38,38,20.0
224,0,3,3,3,4,16,2,0,2,3,12,13,1,2,1,5,8,4,103.0,13472,10,922.0,5,5,2392,5,1,2392,5,8,5,3,3,3,386250,353,2,6,6,6.0
225,12,4,3,3,4,2,2,3,5,1,6,6,1,1,5,5,0,0,21.0,1680,5,142.0,3,3,630,3,1,1302,3,6,0,1,1,3,112000,0,3,38,38,18.0
226,5,3,0,3,4,15,2,0,5,1,12,13,1,2,1,5,8,0,82.0,9950,7,290.0,4,4,1203,5,1,2520,4,9,3,2,3,3,290000,338,3,12,12,12.0
227,12,4,3,3,4,2,2,3,5,1,6,6,1,1,5,5,8,4,21.0,1869,6,127.0,3,3,483,3,1,987,3,5,0,1,1,3,106000,0,2,38,38,21.0
228,0,3,3,3,2,19,1,0,2,1,6,6,2,1,5,5,8,4,70.0,8521,5,0.0,3,3,912,3,1,912,3,5,2,1,1,3,125000,0,1,43,43,36.0
229,11,3,3,3,4,0,2,4,2,1,12,13,1,2,1,5,8,4,43.0,3182,7,16.0,4,4,1373,5,1,1555,4,7,3,3,2,3,192500,163,2,4,3,4.0
230,0,3,3,3,4,12,2,0,2,3,8,8,1,1,1,5,8,4,73.0,8760,6,220.0,3,3,1194,3,1,1194,3,6,0,2,1,3,148000,120,2,51,51,51.0
231,5,3,0,3,4,15,2,0,5,1,12,13,1,2,1,5,8,4,174.0,15138,8,506.0,4,4,1462,5,1,2794,5,9,3,3,3,3,403000,348,4,14,13,14.0
232,12,4,3,3,4,2,2,3,5,1,6,6,1,1,1,5,8,4,21.0,1680,6,297.0,3,3,483,3,1,987,3,5,1,1,1,3,94500,0,2,34,34,34.0
233,0,3,3,3,0,5,2,0,2,1,6,6,2,1,1,5,8,4,75.0,10650,5,0.0,3,3,894,3,1,894,3,5,0,1,1,3,128200,365,2,34,34,34.0
234,5,3,3,3,4,8,2,0,5,1,12,13,2,2,3,5,8,4,79.87755102040816,7851,6,0.0,4,4,860,5,1,1960,4,8,3,3,2,3,216500,336,4,8,8,8.0
235,12,4,3,3,4,2,2,4,5,1,6,6,1,1,5,5,8,4,21.0,1680,6,604.0,3,3,483,3,1,987,3,5,0,1,1,3,89500,0,2,37,37,37.0
236,0,3,3,3,2,5,2,0,2,1,12,13,1,2,1,5,8,4,65.0,8773,7,98.0,4,4,1414,5,1,1414,4,6,0,2,2,3,185500,237,2,6,6,6.0
237,5,3,0,3,1,20,7,0,5,1,6,6,2,2,1,5,8,4,71.5,9453,7,0.0,4,4,996,5,1,1744,4,7,0,2,2,3,194500,678,3,17,7,17.0
238,0,3,3,3,4,16,2,0,2,3,12,13,1,2,1,5,6,5,93.0,12030,8,254.0,5,5,1694,5,1,1694,4,7,0,3,3,3,318000,396,2,0,0,0.0
239,4,3,3,3,4,7,2,0,0,1,12,13,2,1,5,5,8,4,52.0,8741,6,0.0,3,3,735,3,1,1487,3,7,4,1,1,3,113000,140,2,65,60,61.0
240,0,1,3,3,4,21,2,0,2,1,12,13,3,2,1,5,8,4,75.0,9000,8,36.0,4,4,1566,5,1,1566,4,7,0,2,2,3,262500,312,3,2,2,2.0
241,1,4,3,3,4,17,2,0,2,1,12,13,2,1,6,3,8,4,40.0,3880,5,0.0,3,3,686,4,1,866,4,4,0,0,0,0,110500,100,1,62,10,0.0
242,4,4,3,3,0,17,2,0,0,1,13,14,2,0,1,5,8,4,63.0,5000,5,0.0,3,3,540,4,0,1440,3,6,0,1,1,2,79000,77,1,106,56,66.0
243,12,3,3,3,0,20,2,4,5,1,9,10,2,1,1,5,8,4,75.0,10762,6,0.0,3,4,626,3,1,1217,3,6,3,2,1,3,120000,28,2,29,29,29.0
244,5,3,0,3,4,20,2,0,5,1,12,13,2,2,1,5,8,4,71.5,8880,7,0.0,4,4,948,5,1,2110,4,8,2,2,2,3,205000,130,4,16,8,16.0
245,0,3,3,3,4,14,2,0,2,1,13,14,1,1,1,5,8,4,80.0,10400,7,102.0,3,4,1845,4,1,1872,3,6,3,3,2,3,241500,236,3,18,18,18.0
246,14,4,3,3,4,17,2,1,5,1,0,0,2,4,5,4,8,4,69.0,9142,6,0.0,3,2,1020,4,0,1928,2,9,0,1,1,1,137000,172,2,96,56,96.0
247,0,3,3,3,4,12,2,0,2,3,13,3,2,1,1,5,8,4,75.0,11310,6,0.0,3,3,1367,5,1,1375,3,5,3,1,2,3,140000,30,1,52,52,52.0
248,5,3,3,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,72.0,11317,7,101.0,4,4,840,5,1,1668,4,8,0,2,2,3,180000,212,3,4,4,4.0
249,4,3,1,2,1,4,2,0,0,1,13,6,0,1,1,5,8,4,83.46153846153847,159000,6,472.0,4,4,1444,4,1,2144,4,7,3,3,2,3,277000,98,3,49,1,49.0
250,1,3,0,3,4,3,2,0,2,1,13,10,2,1,6,3,8,4,55.0,5350,3,0.0,3,3,728,5,1,1306,2,6,0,0,0,0,76500,263,1,70,44,0.0
251,11,4,0,1,4,6,2,4,2,3,12,13,3,2,1,5,8,3,44.0,4750,8,481.0,4,4,1573,5,1,1625,4,5,4,3,2,3,235000,276,4,1,0,1.0
252,5,3,0,3,4,20,2,0,5,1,12,13,2,2,1,5,8,4,65.0,8366,6,0.0,4,4,798,5,1,1640,4,6,0,2,2,3,173000,183,3,4,4,4.0
253,8,3,3,3,4,12,2,0,7,3,6,6,1,1,1,5,1,4,85.0,9350,6,108.0,3,4,1302,5,1,1302,4,7,0,2,1,3,158000,333,3,43,16,43.0
254,0,3,3,3,4,12,2,0,2,1,8,8,2,1,1,5,8,4,70.0,8400,5,0.0,3,3,1314,3,1,1314,3,5,0,2,1,3,145000,250,2,53,53,53.0
255,5,3,0,3,4,8,2,0,5,1,12,13,1,2,3,5,8,4,66.0,8738,7,302.0,4,4,975,5,1,2291,4,8,3,3,2,3,230000,192,3,7,7,7.0
256,5,1,0,3,4,21,2,0,5,1,12,13,2,2,1,5,8,4,64.0,8791,6,0.0,4,4,864,5,1,1728,4,7,0,2,2,3,207500,272,3,5,5,5.0
257,0,3,3,3,4,5,2,0,2,1,12,13,3,2,1,5,8,0,68.0,8814,7,180.0,4,4,1604,5,1,1604,4,8,4,2,2,3,220000,233,4,3,3,3.0
258,5,3,3,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,80.0,12435,7,172.0,4,4,963,5,1,1792,4,7,3,2,2,3,231500,341,3,7,7,7.0
259,0,4,3,3,4,17,2,0,2,1,3,3,2,2,5,5,8,4,70.0,12702,5,0.0,3,0,0,4,1,882,3,4,0,1,1,3,97000,45,1,52,52,52.0
260,8,3,3,3,0,12,0,0,7,1,13,14,1,1,1,5,8,4,120.0,19296,6,399.0,3,3,1362,3,1,1382,3,6,3,1,2,3,176000,252,2,47,47,18.0
261,5,3,0,3,4,5,2,0,5,1,5,5,3,2,3,5,6,5,69.0,9588,8,270.0,4,5,1482,5,1,2574,5,10,4,3,3,3,276000,148,3,0,0,0.0
262,8,3,0,3,0,19,2,0,7,1,6,10,1,1,1,5,8,4,88.0,8471,6,46.0,3,4,506,3,1,1212,3,6,3,1,2,3,151000,304,2,29,11,28.0
263,4,4,3,3,0,17,2,0,0,1,13,14,2,0,5,5,8,4,50.0,5500,5,0.0,3,3,926,3,1,1316,3,6,0,1,2,3,130000,0,2,81,9,36.0
264,1,4,2,0,4,17,0,0,2,1,13,14,2,0,5,5,8,4,30.0,5232,5,0.0,3,2,680,4,0,764,3,4,0,1,2,3,73000,0,1,83,4,43.0
265,0,3,0,3,4,14,2,0,2,1,8,8,1,1,1,5,8,4,78.0,12090,6,210.0,3,4,1422,3,1,1422,4,7,3,3,2,3,175500,276,2,27,27,27.0
266,5,3,0,1,2,8,2,0,5,1,12,13,2,2,1,5,8,4,70.0,11207,6,0.0,3,4,802,4,1,1511,3,8,3,3,2,3,185000,170,4,9,9,9.0
267,7,3,3,0,4,18,2,0,3,1,13,14,2,2,5,5,8,4,60.0,8400,5,0.0,3,3,720,5,1,2192,4,8,4,1,1,3,179500,286,3,69,11,69.0
268,1,4,3,3,4,9,2,0,2,1,12,13,2,1,5,0,8,4,71.0,6900,5,0.0,3,3,740,5,1,778,3,4,4,3,1,5,120500,25,1,68,53,42.0
269,0,3,0,3,0,7,2,0,2,3,6,6,1,1,1,2,8,4,68.21739130434783,7917,6,174.0,3,3,1143,3,1,1113,3,6,2,2,1,3,148000,400,3,31,31,20.0
270,5,1,3,3,4,21,2,0,5,1,12,13,2,2,1,5,6,5,84.0,10728,8,0.0,4,4,1095,4,1,1939,4,8,4,2,3,3,266000,243,3,0,0,0.0
271,0,3,0,2,1,4,2,0,2,0,9,10,2,1,1,5,8,4,73.0,39104,7,0.0,3,4,1385,5,1,1363,3,5,3,1,2,3,241500,81,2,54,3,54.0
272,5,3,0,3,1,15,2,0,5,1,12,13,1,2,1,5,8,4,92.0,11764,8,348.0,4,4,1152,5,1,2270,4,9,4,3,3,3,290000,189,3,11,3,11.0
273,0,3,3,3,4,12,1,0,2,3,13,14,0,1,1,5,8,4,80.0,9600,6,183.0,3,3,1240,4,1,1632,3,6,4,2,1,3,139000,289,3,51,21,51.0
274,0,3,3,3,0,11,2,0,2,1,6,7,2,1,1,5,8,4,76.0,8314,5,0.0,3,3,816,3,1,816,3,5,0,1,1,3,124500,168,1,25,25,25.0
275,4,3,3,3,4,3,2,0,0,1,13,14,2,0,5,5,8,4,55.0,7264,7,0.0,4,3,952,4,0,1548,5,5,0,1,2,3,205000,218,3,84,2,31.0
276,0,3,0,3,4,11,2,0,2,1,12,13,2,2,1,5,8,4,129.0,9196,7,0.0,4,5,1560,5,1,1560,4,7,0,3,2,3,201000,250,2,7,7,7.0
277,0,3,3,3,0,8,2,0,2,1,12,13,2,1,5,5,8,4,140.0,19138,4,0.0,3,3,864,5,1,864,3,4,0,1,2,3,141000,0,1,59,59,59.0
278,0,3,3,3,4,16,2,0,2,1,5,5,1,2,1,5,6,5,107.0,14450,9,315.0,5,5,2121,5,1,2121,5,8,5,3,3,3,415298,364,3,1,0,0.0
279,5,3,3,3,4,4,2,0,5,3,9,10,1,1,1,5,8,4,83.0,10005,7,299.0,3,4,1160,5,1,2022,3,8,3,3,2,3,192000,405,3,31,31,31.0
280,5,3,3,3,4,20,2,0,5,1,9,10,1,1,1,5,8,4,82.0,11287,7,340.0,4,4,807,4,1,1982,4,7,3,3,2,3,228500,280,3,18,18,18.0
281,0,1,3,3,4,21,2,0,2,1,12,13,3,2,1,5,6,5,60.0,7200,6,68.0,4,4,1262,4,1,1262,4,5,0,3,2,3,185000,120,2,0,0,0.0
282,11,3,3,3,4,16,2,3,2,1,12,13,3,2,1,5,5,4,34.0,5063,7,166.0,4,4,1314,5,1,1314,4,6,4,2,2,3,207500,234,3,2,1,1.0
283,0,3,3,3,4,21,1,0,2,1,12,13,3,2,1,5,6,5,74.0,9612,8,72.0,4,4,1468,5,1,1468,4,6,4,3,3,3,244600,360,2,1,0,1.0
284,11,3,3,3,4,20,2,4,2,1,9,7,2,2,1,5,8,4,50.0,8012,6,0.0,4,4,1575,4,1,1575,4,5,0,2,2,3,179200,52,3,15,15,15.0
285,12,1,0,3,4,21,2,4,5,1,8,8,2,2,5,5,6,5,35.0,4251,7,0.0,4,4,625,5,1,1250,4,5,0,2,2,3,164700,54,3,1,0,1.0
286,4,3,0,0,4,12,2,0,0,1,13,14,2,1,1,5,8,4,77.0,9786,6,0.0,3,3,912,3,1,1734,4,7,4,2,2,3,159000,128,2,44,25,44.0
287,0,3,0,3,0,12,2,0,2,1,6,6,2,1,6,3,8,4,76.46236559139786,8125,4,0.0,3,3,858,3,1,858,3,5,0,0,0,0,88000,0,1,35,35,0.0
288,0,3,0,3,4,19,2,0,2,1,8,8,1,1,5,5,8,4,74.4375,9819,5,31.0,3,3,882,3,1,900,3,5,0,1,1,3,122000,0,1,43,43,40.0
289,6,3,3,3,4,3,6,0,5,1,13,14,2,0,5,5,8,4,60.0,8730,6,0.0,3,3,698,5,1,1396,3,7,0,1,1,3,153575,259,1,92,4,4.0
290,5,3,3,3,4,5,2,0,5,1,12,13,2,2,1,5,6,5,120.0,15611,8,0.0,4,4,1079,5,1,1919,4,8,4,2,2,4,233230,51,3,0,0,0.0
291,14,3,3,0,4,18,2,1,5,1,12,13,2,2,6,3,8,4,55.0,5687,5,0.0,3,3,780,5,0,1716,2,9,0,0,0,0,135900,184,3,96,8,0.0
292,4,3,3,3,4,7,2,0,0,1,13,14,2,1,1,5,8,4,60.0,11409,5,0.0,3,3,768,4,1,1716,3,8,4,1,1,3,131000,160,2,60,1,60.0
293,5,3,0,3,0,14,3,0,5,1,9,10,1,1,1,5,8,4,81.28888888888889,16659,7,34.0,3,3,795,2,1,2263,4,9,3,3,2,3,235000,250,4,29,12,29.0
294,0,3,3,3,4,12,2,0,2,3,6,6,3,1,1,5,8,4,80.0,9600,6,238.0,3,3,1416,3,1,1644,3,7,4,3,2,3,167000,110,2,56,56,56.0
