,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
149,50,RM,,6240,1,0.0,4,1,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,4.0,3.0,1.0,1.0,0,1.0,0,896,896,2,4,1,3.0,896,448,0,1344,0,0,1,0,3,1,3,7,8,0,0.0,1.0,1936.0,1.0,1,240,2.0,3.0,3,200,114,0,0,0,0,0.0,0.0,0.0,0,4,2006,WD,Normal,115000
150,20,RL,120.0,10356,1,0.0,4,1,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,3.0,4.0,716,1.0,0,253,969,2,3,1,4.0,969,0,0,969,0,0,1,1,3,1,3,5,8,0,0.0,2.0,1975.0,1.0,2,440,3.0,3.0,3,0,0,0,0,0,0,0.0,1.0,0.0,0,1,2007,WD,Normal,122000
151,20,RL,107.0,13891,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,436.0,4,3,PConc,5.0,3.0,4.0,6.0,1400,1.0,0,310,1710,2,5,1,4.0,1710,0,0,1710,1,0,2,0,2,1,4,6,8,1,4.0,2.0,2007.0,2.0,3,866,3.0,3.0,3,0,102,0,0,0,0,0.0,0.0,0.0,0,1,2008,New,Partial,372402
152,60,RL,,14803,1,0.0,3,1,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,252.0,3,3,CBlock,3.0,3.0,1.0,3.0,416,1.0,0,409,825,2,4,1,4.0,1097,896,0,1993,0,0,2,1,4,1,3,8,8,1,4.0,2.0,1971.0,2.0,2,495,3.0,3.0,3,0,66,0,0,0,0,0.0,2.0,0.0,0,6,2006,WD,Normal,190000
153,20,RL,,13500,1,0.0,4,1,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,4.0,3.0,4.0,4.0,429,5.0,1080,93,1602,2,4,1,4.0,1252,0,0,1252,1,0,1,0,1,1,3,4,8,1,4.0,2.0,1960.0,2.0,2,564,3.0,3.0,3,409,0,0,0,0,0,0.0,0.0,0.0,0,3,2008,WD,Normal,235000
154,30,RM,84.0,11340,1,0.0,4,1,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,5,1923,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,1200,1200,2,3,1,3.0,1200,0,0,1200,0,0,1,0,4,1,3,7,8,0,0.0,1.0,1923.0,1.0,1,312,2.0,2.0,3,0,0,228,0,0,0,0.0,0.0,0.0,0,3,2006,WD,Family,125000
155,50,RL,60.0,9600,1,0.0,4,1,AllPub,Corner,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,6,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,572,572,1,2,0,2.0,572,524,0,1096,0,0,1,0,2,1,3,5,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,1,0,8,128,0,0,0,0.0,0.0,0.0,0,4,2008,WD,Normal,79000
156,20,RL,60.0,7200,1,0.0,4,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,3,1,2.0,1040,0,0,1040,0,0,1,0,2,1,3,5,8,0,0.0,1.0,1950.0,1.0,2,625,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2006,WD,Normal,109500
157,60,RL,92.0,12003,1,0.0,4,1,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,BrkFace,84.0,4,3,PConc,5.0,3.0,1.0,1.0,0,1.0,0,774,774,2,5,1,4.0,774,1194,0,1968,0,0,2,1,4,1,5,8,8,1,4.0,2.0,2009.0,3.0,3,680,3.0,3.0,3,0,75,0,0,0,0,0.0,0.0,0.0,0,5,2010,New,Partial,269500
158,60,FV,100.0,12552,1,0.0,4,1,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,222,1.0,0,769,991,2,5,1,4.0,991,956,0,1947,0,0,2,1,3,1,4,8,8,1,4.0,2.0,2004.0,2.0,2,678,3.0,3.0,3,0,136,0,0,0,0,0.0,2.0,0.0,0,5,2010,WD,Normal,254900
159,60,RL,134.0,19378,1,0.0,3,1,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,456.0,4,3,PConc,4.0,3.0,2.0,6.0,57,1.0,0,1335,1392,2,5,1,4.0,1392,1070,0,2462,1,0,2,1,4,1,4,9,8,1,4.0,2.0,2006.0,2.0,2,576,3.0,3.0,3,239,132,0,168,0,0,0.0,0.0,0.0,0,3,2006,New,Partial,320000
160,20,RL,,11120,1,0.0,3,1,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Fam,1Story,6,6,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,PConc,4.0,3.0,1.0,4.0,660,1.0,0,572,1232,2,3,1,4.0,1232,0,0,1232,0,0,2,0,3,1,3,6,8,0,0.0,2.0,1984.0,1.0,2,516,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2008,WD,Normal,162500
161,60,RL,110.0,13688,1,0.0,3,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,664.0,4,3,PConc,5.0,3.0,3.0,6.0,1016,1.0,0,556,1572,2,5,1,4.0,1572,1096,0,2668,1,0,2,1,3,1,5,10,8,2,4.0,2.0,2003.0,3.0,3,726,3.0,3.0,3,400,0,0,0,0,0,0.0,0.0,0.0,0,3,2008,WD,Normal,412500
162,20,RL,95.0,12182,1,0.0,4,1,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4.0,3.0,2.0,4.0,1201,1.0,0,340,1541,2,5,1,4.0,1541,0,0,1541,0,0,2,0,3,1,4,7,8,1,4.0,2.0,2005.0,2.0,2,532,3.0,3.0,3,0,70,0,0,0,0,0.0,0.0,0.0,0,5,2010,New,Partial,220000
163,45,RL,55.0,5500,1,0.0,4,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Unf,4,6,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0,1.0,0,882,882,2,5,1,4.0,882,0,0,882,0,0,1,0,1,1,3,4,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,1.0,0.0,0,4,2007,WD,Normal,103200
164,40,RM,40.0,5400,1,2.0,4,1,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,7,1926,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,3.0,3.0,2.0,2.0,370,1.0,0,779,1149,2,4,1,3.0,1149,467,0,1616,0,0,2,0,3,1,4,5,8,0,0.0,1.0,1926.0,1.0,1,216,3.0,3.0,3,0,0,183,0,0,0,0.0,0.0,0.0,0,10,2007,WD,Normal,152000
165,190,RL,62.0,10106,1,0.0,4,1,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,5,7,1940,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,3.0,3.0,1.0,5.0,351,3.0,181,112,644,2,4,1,4.0,808,547,0,1355,1,0,2,0,4,2,3,6,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,3,140,0,0,0,0,0,0.0,0.0,0.0,0,9,2008,WD,Normal,127500
166,20,RL,,10708,1,0.0,3,1,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,CBlock,3.0,3.0,1.0,2.0,379,4.0,768,470,1617,2,5,1,3.0,1867,0,0,1867,1,0,1,0,2,1,3,7,8,3,4.0,2.0,1955.0,3.0,1,303,3.0,3.0,3,476,0,0,0,142,0,0.0,2.0,0.0,0,11,2009,COD,Normal,190000
167,60,RL,86.0,10562,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,300.0,4,3,PConc,5.0,3.0,1.0,6.0,1288,1.0,0,294,1582,2,5,1,4.0,1610,551,0,2161,1,0,1,1,3,1,5,8,8,1,4.0,2.0,2007.0,3.0,3,789,3.0,3.0,3,178,120,0,0,0,0,0.0,0.0,0.0,0,11,2007,New,Partial,325624
168,60,RL,62.0,8244,1,0.0,3,1,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,840,840,2,5,1,4.0,840,880,0,1720,0,0,2,1,3,1,4,7,8,1,4.0,2.0,2004.0,3.0,2,440,3.0,3.0,3,100,48,0,0,0,0,0.0,0.0,0.0,0,5,2007,WD,Normal,183500
169,20,RL,,16669,1,0.0,3,1,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,8,6,1981,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,4,3,CBlock,4.0,3.0,1.0,1.0,0,1.0,0,1686,1686,2,3,1,4.0,1707,0,0,1707,0,0,2,1,2,1,3,6,8,1,3.0,2.0,1981.0,2.0,2,511,3.0,3.0,3,574,64,0,0,0,0,0.0,0.0,0.0,0,1,2006,WD,Normal,228000
170,50,RM,,12358,1,0.0,3,1,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,360,1.0,0,360,720,2,3,1,4.0,854,0,528,1382,0,0,1,1,2,1,3,7,8,0,0.0,1.0,1991.0,1.0,2,660,3.0,3.0,3,237,0,0,0,0,0,0.0,0.0,0.0,0,5,2007,WD,Normal,128500
171,20,RL,141.0,31770,1,0.0,3,1,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3.0,4.0,4.0,4.0,639,1.0,0,441,1080,2,2,1,4.0,1656,0,0,1656,1,0,1,0,3,1,3,7,8,2,4.0,2.0,1960.0,3.0,2,528,3.0,3.0,2,210,62,0,0,0,0,0.0,0.0,0.0,0,5,2010,WD,Normal,215000
172,160,RL,44.0,5306,1,0.0,3,1,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,7,1987,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,PConc,4.0,4.0,1.0,6.0,495,3.0,215,354,1064,2,4,1,4.0,1064,703,0,1767,1,0,2,0,2,1,4,5,8,1,3.0,2.0,1987.0,2.0,2,504,4.0,3.0,3,441,35,0,0,0,0,0.0,0.0,0.0,0,6,2006,WD,Normal,239000
173,20,RL,80.0,10197,1,0.0,3,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,3,3,CBlock,3.0,3.0,1.0,5.0,288,3.0,374,700,1362,2,3,1,4.0,1362,0,0,1362,1,0,1,1,3,1,3,6,8,1,3.0,2.0,1961.0,1.0,2,504,3.0,3.0,3,0,20,0,0,0,0,0.0,0.0,0.0,0,6,2008,COD,Normal,163000
174,20,RL,47.0,12416,1,0.0,3,1,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,VinylSd,Plywood,Stone,132.0,3,3,CBlock,4.0,2.0,1.0,5.0,1398,2.0,208,0,1606,2,3,1,4.0,1651,0,0,1651,1,0,2,0,3,1,3,7,6,1,3.0,2.0,1986.0,3.0,2,616,3.0,3.0,3,192,0,0,0,0,0,0.0,0.0,0.0,0,11,2008,WD,Normal,184000
175,20,RL,84.0,12615,1,0.0,4,1,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,2001,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,4.0,3.0,5.0,477,1.0,0,725,1202,2,3,1,4.0,2158,0,0,2158,1,0,2,0,4,1,4,7,8,1,4.0,2.0,1950.0,1.0,2,576,3.0,3.0,3,0,29,39,0,0,0,0.0,1.0,0.0,0,6,2007,WD,Normal,243000
176,60,RL,97.0,10029,1,0.0,3,1,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,4,3,PConc,4.0,3.0,1.0,6.0,831,1.0,0,320,1151,2,3,1,4.0,1164,896,0,2060,0,1,2,1,4,1,3,8,8,1,3.0,2.0,1988.0,1.0,2,521,3.0,3.0,3,0,228,0,0,192,0,0.0,0.0,0.0,0,9,2007,WD,Normal,211000
177,50,RL,,13650,1,0.0,4,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,CBlock,3.0,3.0,1.0,5.0,57,4.0,441,554,1052,2,5,1,4.0,1252,668,0,1920,1,0,2,0,4,1,4,8,8,1,4.0,2.0,1958.0,1.0,2,451,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,7,2006,WD,Normal,172500
178,20,RL,63.0,17423,1,0.0,3,1,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,5,3,PConc,5.0,3.0,1.0,6.0,1904,1.0,0,312,2216,2,5,1,4.0,2234,0,0,2234,1,0,2,0,1,1,5,9,8,1,4.0,2.0,2009.0,3.0,3,1166,3.0,3.0,3,0,60,0,0,0,0,0.0,0.0,0.0,0,7,2009,New,Partial,501837
179,30,RM,60.0,8520,1,0.0,4,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,CBlock,3.0,3.0,1.0,1.0,0,1.0,0,968,968,2,3,1,4.0,968,0,0,968,0,0,1,0,2,1,3,5,8,0,0.0,1.0,1935.0,1.0,2,480,2.0,3.0,1,0,0,184,0,0,0,0.0,0.0,0.0,0,7,2007,WD,Normal,100000
180,160,FV,,2117,1,0.0,4,1,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,436,1.0,0,320,756,2,5,1,4.0,769,756,0,1525,0,0,2,1,3,1,4,5,8,1,3.0,1.0,2000.0,1.0,2,440,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2007,WD,Normal,177000
181,70,RL,54.0,7588,1,0.0,4,1,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,2.0,3.0,1.0,2.0,352,1.0,0,441,793,2,4,1,4.0,901,901,0,1802,0,0,1,1,4,1,3,9,8,1,4.0,1.0,1920.0,1.0,1,216,2.0,3.0,3,0,0,40,0,0,0,0.0,0.0,0.0,0,7,2006,WD,Normal,200100
182,20,RL,60.0,9060,1,0.0,4,1,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,3,3,PConc,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,5,1,4.0,1340,0,0,1340,0,0,1,0,3,1,3,7,8,1,4.0,2.0,1957.0,2.0,1,252,3.0,3.0,3,116,0,0,180,0,0,0.0,1.0,0.0,0,6,2007,WD,Normal,120000
183,50,RM,63.0,11426,1,0.0,4,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1362,1362,2,5,1,4.0,1362,720,0,2082,0,0,2,1,3,1,4,6,5,0,0.0,1.0,2003.0,1.0,2,484,3.0,3.0,1,280,238,0,0,0,0,0.0,0.0,0.0,0,6,2008,WD,Normal,200000
184,50,RL,92.0,7438,1,0.0,3,1,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,2.0,3.0,1.0,1.0,0,1.0,0,504,504,2,4,1,4.0,936,316,0,1252,0,0,1,0,3,1,3,5,8,0,0.0,2.0,1986.0,1.0,2,576,3.0,3.0,3,104,0,0,0,0,0,0.0,1.0,0.0,0,6,2006,WD,Normal,127000
185,75,RM,90.0,22950,1,0.0,2,1,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,3.0,3.0,2.0,1.0,0,1.0,0,1107,1107,2,5,1,4.0,1518,1518,572,3608,0,0,2,1,4,1,5,12,8,2,3.0,1.0,1993.0,1.0,3,840,5.0,3.0,3,0,260,0,0,410,0,0.0,2.0,0.0,0,6,2006,WD,Normal,475000
186,80,RL,,9947,1,0.0,3,1,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4.0,3.0,3.0,6.0,611,1.0,0,577,1188,2,5,1,4.0,1217,0,0,1217,1,0,2,0,3,1,4,6,8,0,0.0,2.0,1990.0,1.0,2,497,3.0,3.0,3,168,27,0,0,0,0,0.0,2.0,0.0,0,6,2009,WD,Normal,173000
187,50,RL,60.0,10410,1,0.0,4,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,2.0,3.0,1.0,1.0,0,1.0,0,660,660,2,5,1,4.0,808,704,144,1656,0,0,2,1,3,1,3,8,6,0,0.0,1.0,1916.0,1.0,1,180,2.0,2.0,1,0,0,0,140,0,0,0.0,1.0,0.0,0,8,2009,WD,Normal,135000
188,90,RL,64.0,7018,1,0.0,4,1,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,3,3,CBlock,4.0,3.0,3.0,6.0,1086,1.0,0,0,1086,2,3,1,4.0,1224,0,0,1224,2,0,0,2,2,2,3,6,8,2,3.0,1.0,1979.0,1.0,2,528,3.0,3.0,3,120,0,0,0,0,0,0.0,0.0,0.0,0,6,2009,WD,Alloca,153337
189,120,RL,41.0,4923,1,0.0,4,1,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5.0,3.0,3.0,6.0,1153,1.0,0,440,1593,2,5,1,4.0,1593,0,0,1593,1,0,1,1,0,1,5,5,8,1,4.0,2.0,2001.0,3.0,2,682,3.0,3.0,3,0,120,0,0,224,0,0.0,0.0,0.0,0,8,2008,WD,Normal,286000
190,70,RL,70.0,10570,1,0.0,4,1,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1932,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,4.0,4.0,1.0,3.0,297,1.0,0,556,853,2,3,1,4.0,1549,1178,0,2727,0,0,2,1,3,1,4,10,4,2,3.0,1.0,1932.0,1.0,2,440,3.0,3.0,3,0,74,0,0,0,0,0.0,0.0,0.0,0,12,2007,WD,Normal,315000
191,60,RL,,7472,1,0.0,3,1,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,3,3,CBlock,3.0,3.0,1.0,5.0,626,1.0,0,99,725,2,4,1,4.0,725,754,0,1479,1,0,1,1,4,1,4,7,8,0,0.0,2.0,1972.0,3.0,2,484,3.0,3.0,3,0,32,0,0,0,0,0.0,0.0,0.0,0,6,2007,WD,Normal,184000
192,20,RL,68.0,9017,1,0.0,3,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,560,1.0,0,871,1431,2,5,1,4.0,1431,0,0,1431,1,0,2,0,3,1,4,6,8,0,0.0,2.0,1999.0,3.0,2,666,3.0,3.0,3,0,35,0,0,0,0,0.0,0.0,0.0,0,9,2009,WD,Normal,192000
193,160,RM,24.0,2522,1,0.0,4,1,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,970,970,2,5,1,4.0,970,739,0,1709,0,0,2,0,3,1,4,7,4,0,0.0,1.0,2004.0,1.0,2,380,3.0,3.0,3,0,40,0,0,0,0,0.0,0.0,0.0,0,5,2006,WD,Normal,130000
194,20,RL,60.0,7180,1,0.0,3,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,3.0,5.0,390,1.0,0,474,864,2,3,1,4.0,864,0,0,864,0,0,1,0,3,1,3,5,8,0,0.0,1.0,1989.0,1.0,1,352,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,5,2008,WD,Normal,127000
195,160,RL,24.0,2280,1,0.0,4,1,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4.0,3.0,1.0,5.0,566,1.0,0,289,855,2,3,1,4.0,855,601,0,1456,0,0,2,1,3,1,3,7,8,1,3.0,2.0,1976.0,1.0,2,440,3.0,3.0,3,87,0,0,0,0,0,0.0,0.0,0.0,0,7,2009,WD,Normal,148500
196,20,RL,79.0,9416,1,0.0,4,1,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,5,3,PConc,5.0,3.0,1.0,6.0,1126,1.0,0,600,1726,2,5,1,4.0,1726,0,0,1726,1,0,2,0,3,1,5,8,8,1,4.0,2.0,2007.0,3.0,3,786,3.0,3.0,3,171,138,0,0,266,0,0.0,0.0,0.0,0,9,2007,New,Partial,311872
197,75,RL,174.0,25419,1,0.0,4,1,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0.0,4,4,PConc,3.0,3.0,1.0,6.0,1036,2.0,184,140,1360,2,4,1,4.0,1360,1360,392,3112,1,1,2,0,4,1,4,8,8,1,5.0,1.0,1918.0,1.0,2,795,3.0,3.0,3,0,16,552,0,0,512,4.0,2.0,0.0,0,3,2006,WD,Abnorml,235000
198,75,RM,92.0,5520,1,0.0,4,1,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0,1.0,0,755,755,2,5,1,4.0,929,929,371,2229,0,0,1,0,5,1,3,8,8,0,0.0,0.0,,0.0,0,0,0.0,0.0,3,0,198,30,0,0,0,0.0,1.0,0.0,0,7,2009,WD,Abnorml,104000
199,20,RL,76.0,9591,1,0.0,4,1,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,4,3,PConc,5.0,3.0,3.0,6.0,1088,1.0,0,625,1713,2,5,1,4.0,1713,0,0,1713,1,0,2,0,3,1,5,7,8,1,4.0,2.0,2004.0,3.0,3,856,3.0,3.0,3,0,26,0,0,170,0,0.0,0.0,0.0,0,1,2009,WD,Normal,274900
200,20,RM,80.0,8546,1,0.0,4,1,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1121,1121,2,5,1,4.0,1121,0,0,1121,0,0,2,0,2,1,3,5,8,0,0.0,2.0,2003.0,2.0,2,440,3.0,3.0,3,132,64,0,0,0,0,0.0,0.0,0.0,0,3,2010,WD,Normal,140000
201,20,RL,75.0,10125,1,0.0,4,1,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,641,2.0,279,276,1196,2,3,1,4.0,1279,0,0,1279,0,1,2,0,3,1,3,6,8,2,2.0,1.0,1980.0,1.0,2,473,3.0,3.0,3,238,83,0,0,0,0,0.0,1.0,0.0,0,2,2008,WD,Normal,171500
202,50,RL,50.0,7000,1,0.0,4,1,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,2.0,3.0,1.0,2.0,617,1.0,0,0,617,2,4,1,4.0,865,445,0,1310,0,0,2,0,2,1,3,6,7,0,0.0,2.0,1924.0,1.0,1,398,3.0,3.0,3,0,0,126,0,0,0,0.0,0.0,0.0,0,5,2006,COD,Normal,112000
