,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,SaleType,SaleCondition,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
343,120,RL,63.0,8849,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,616.0,5,PConc,5,1684,5,1,1684,5,6,5,Attchd,2,2,3,TA,WD,Normal,266000,567,2,3,3,3.0
344,160,RM,36.0,2592,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,Gable,CemntBd,CmentBd,None,0.0,3,CBlock,4,536,3,1,1112,3,4,0,Attchd,1,1,3,TA,WD,Normal,85000,182,2,34,34,34.0
345,50,RL,65.0,6435,Reg,Lvl,Inside,BrkSide,RRAn,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,972,4,1,1577,2,6,4,Detchd,1,1,3,TA,WD,Normal,140200,0,1,67,56,67.0
346,20,RL,76.46236559139786,12772,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,Hip,MetalSd,MetalSd,None,0.0,3,CBlock,3,958,3,1,958,3,5,0,Attchd,2,1,3,TA,WD,Normal,151500,0,1,47,9,47.0
347,20,RL,76.46236559139786,17600,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,30.0,3,CBlock,3,1478,5,1,1478,3,6,4,Attchd,1,2,3,TA,WD,Normal,157500,40,3,49,49,49.0
348,160,RL,36.0,2448,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,VinylSd,Wd Shng,Stone,106.0,4,PConc,4,764,5,1,1626,4,6,0,BuiltIn,2,2,3,TA,WD,Normal,154000,27,4,5,4,5.0
349,60,RL,56.0,20431,IR2,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,Hip,CemntBd,CmentBd,BrkFace,870.0,5,PConc,5,1848,5,1,2728,5,10,5,Attchd,3,3,3,TA,New,Partial,437154,0,4,1,0,0.0
350,120,RL,68.0,7820,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,362.0,5,PConc,5,1869,5,1,1869,5,6,4,Attchd,2,2,3,TA,New,Partial,318061,264,2,0,0,0.0
351,120,RL,83.46153846153847,5271,IR1,Low,Inside,ClearCr,Norm,1Fam,1Story,7,Gable,Wd Sdng,Wd Sdng,None,0.0,3,PConc,4,1453,4,1,1453,4,6,3,Attchd,2,2,3,TA,WD,Abnorml,190000,264,3,20,20,20.0
352,50,RL,60.0,9084,Reg,Lvl,Inside,Edwards,Artery,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,3,616,3,0,1111,3,5,0,Detchd,1,1,3,Fa,ConLw,Normal,95000,48,2,67,58,67.0
353,30,RM,60.0,8520,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,6,Gable,VinylSd,VinylSd,None,0.0,3,BrkTil,3,624,4,1,720,3,5,0,Detchd,1,2,3,TA,WD,Normal,105900,106,1,82,7,5.0
354,50,RL,60.0,8400,Reg,Bnk,Inside,SWISU,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,MetalSd,None,0.0,3,CBlock,3,940,5,1,1595,3,6,4,Attchd,1,1,3,TA,WD,Normal,140000,108,1,66,6,66.0
355,20,RL,105.0,11249,IR2,Lvl,Inside,CollgCr,Norm,1Fam,1Story,6,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1200,5,1,1200,4,6,0,Attchd,2,2,3,TA,WD,Normal,177500,26,3,12,12,12.0
356,20,RL,79.87755102040816,9248,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,BrkFace,106.0,3,PConc,4,1158,4,1,1167,4,6,0,Attchd,2,2,3,TA,WD,Normal,173000,146,3,17,17,17.0
357,120,RM,44.0,4224,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,Gable,CemntBd,CmentBd,None,0.0,3,PConc,4,1142,3,1,1142,3,6,1,Attchd,3,2,3,TA,WD,Normal,134000,626,3,31,31,31.0
358,80,RL,92.0,6930,IR1,Lvl,Inside,ClearCr,Norm,1Fam,SLvl,5,Hip,Wd Sdng,ImStucc,BrkFace,120.0,3,CBlock,3,1062,5,1,1352,4,6,0,BuiltIn,1,1,3,TA,WD,Abnorml,130000,462,2,48,48,48.0
359,60,RL,78.0,12011,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,530.0,4,PConc,4,1086,5,1,1924,4,7,3,Attchd,2,2,3,TA,WD,Normal,280000,657,4,8,8,8.0
360,85,RL,70.08333333333333,7540,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,SFoyer,6,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,4,888,5,1,912,3,5,3,Attchd,2,2,3,TA,WD,Normal,156000,192,2,29,29,29.0
361,50,RL,57.509803921568626,9144,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,883,4,1,1505,3,8,0,Detchd,1,1,3,TA,WD,Normal,145000,0,2,68,26,68.0
362,85,RL,64.0,7301,Reg,Lvl,Corner,Edwards,Norm,1Fam,SFoyer,7,Gable,HdBoard,HdBoard,BrkFace,500.0,4,Slab,0,0,5,1,1922,4,7,5,BuiltIn,2,2,3,TA,ConLD,Normal,198500,177,3,6,6,6.0
363,160,RM,21.0,1680,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,510.0,3,CBlock,3,483,4,1,987,4,5,0,Detchd,1,1,3,TA,WD,Normal,118000,250,2,37,2,37.0
364,60,RL,81.28888888888889,18800,IR1,Lvl,FR2,NWAmes,Norm,1Fam,2Story,6,Gable,HdBoard,HdBoard,BrkFace,120.0,3,PConc,4,796,3,1,1574,3,6,3,Attchd,3,2,3,TA,WD,Normal,190000,417,4,30,30,30.0
365,70,RM,59.0,10690,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2Story,5,Hip,VinylSd,VinylSd,None,0.0,3,CBlock,3,672,4,1,1344,3,6,0,Detchd,1,1,3,Fa,WD,Normal,147000,346,1,89,12,45.0
366,20,RL,76.46236559139786,9500,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Plywood,Plywood,BrkFace,247.0,3,CBlock,4,1394,4,1,1394,3,6,4,Attchd,2,2,3,TA,WD,Normal,159000,261,3,46,46,46.0
367,80,RL,101.0,9150,IR1,Lvl,Corner,NAmes,Norm,1Fam,SLvl,6,Gable,Plywood,Plywood,BrkFace,305.0,3,CBlock,4,1099,4,1,1431,3,6,4,Basment,2,1,3,TA,WD,Normal,165000,174,2,46,46,46.0
368,20,RL,78.0,7800,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,BrkFace,200.0,3,PConc,3,1268,4,1,1268,3,7,4,Attchd,3,1,3,TA,WD,Normal,132000,98,1,56,56,56.0
369,20,RL,76.46236559139786,9830,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1063,5,1,1287,4,7,4,Detchd,3,2,3,TA,WD,Normal,162000,563,2,51,4,13.0
370,60,RL,79.87755102040816,8121,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,953,5,1,1664,3,7,3,Attchd,2,2,3,TA,WD,Normal,172400,140,3,6,6,6.0
371,50,RL,80.0,17120,Reg,Lvl,Inside,ClearCr,Feedr,1Fam,1.5Fin,4,Gable,WdShing,Plywood,None,0.0,3,CBlock,0,0,3,1,1588,3,7,4,Detchd,3,2,3,TA,WD,Normal,134432,59,2,49,49,17.0
372,120,RL,50.0,7175,Reg,Lvl,Inside,SawyerW,Norm,TwnhsE,1Story,6,Gable,Plywood,Plywood,None,0.0,3,CBlock,4,744,3,1,752,3,4,0,Attchd,1,1,3,TA,WD,Normal,125000,443,2,26,26,26.0
373,20,RL,79.0,10634,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,3,PConc,3,608,3,1,1319,3,5,0,Attchd,1,1,3,TA,WD,Normal,123000,66,2,56,56,56.0
374,60,RL,65.0,8200,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,847,5,1,1928,4,8,4,BuiltIn,3,2,3,TA,WD,Normal,219500,148,3,4,3,4.0
375,30,RL,68.21739130434783,10020,IR1,Low,Inside,Edwards,Norm,1Fam,1Story,1,Gable,Wd Sdng,Wd Sdng,None,0.0,2,BrkTil,2,683,4,0,904,2,4,0,NA,0,0,0,None,WD,Normal,61000,0,2,87,59,0.0
376,85,RL,57.0,8846,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,SFoyer,5,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,870,5,1,914,3,5,0,Detchd,1,2,3,TA,WD,Normal,148000,0,1,10,10,8.0
377,60,FV,102.0,11143,IR1,Lvl,Corner,Somerst,Norm,1Fam,2Story,8,Gable,CemntBd,CmentBd,None,0.0,4,PConc,4,1580,5,1,2466,4,8,4,Attchd,2,2,3,TA,WD,Normal,340000,373,3,3,2,3.0
378,20,RL,88.0,11394,Reg,Lvl,Corner,StoneBr,Norm,1Fam,1Story,9,Hip,VinylSd,VinylSd,Stone,350.0,4,PConc,5,1856,5,1,1856,5,8,5,Attchd,3,3,3,TA,New,Partial,394432,113,3,0,0,0.0
379,60,RL,60.0,8123,IR1,Lvl,Inside,Gilbert,RRAn,1Fam,2Story,6,Gable,VinylSd,VinylSd,BrkFace,16.0,3,PConc,4,982,5,1,1800,3,7,3,Attchd,3,2,3,TA,WD,Normal,179000,163,3,9,9,9.0
380,50,RL,50.0,5000,Reg,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,5,Gable,BrkFace,Wd Sdng,None,0.0,3,BrkTil,3,1026,3,1,1691,4,6,4,Detchd,1,1,3,TA,WD,Normal,127000,242,2,86,60,86.0
381,20,FV,60.0,7200,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1293,5,1,1301,4,5,4,Attchd,2,2,3,TA,New,Partial,187750,337,3,0,0,0.0
382,60,RL,79.0,9245,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,939,5,1,1797,4,8,0,Attchd,2,2,3,TA,WD,Normal,213500,197,3,1,1,1.0
383,45,RH,60.0,9000,Reg,Lvl,Corner,SawyerW,Norm,1Fam,1.5Unf,6,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,2,784,3,0,784,3,5,0,Detchd,1,2,2,Fa,WD,Normal,76000,91,1,81,59,59.0
384,60,RL,83.46153846153847,53107,IR2,Low,Corner,ClearCr,Feedr,1Fam,2Story,6,Gable,HdBoard,HdBoard,None,0.0,4,PConc,4,1580,5,1,1953,4,9,2,Attchd,3,2,3,TA,WD,Normal,240000,447,4,15,15,15.0
385,120,RL,43.0,3182,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,BrkFace,16.0,4,PConc,4,1256,5,1,1269,4,6,3,Attchd,3,2,3,TA,WD,Normal,192000,310,2,6,5,6.0
386,50,RL,58.0,8410,Reg,Lvl,FR2,Edwards,Feedr,1Fam,1.5Fin,5,Gambrel,Wd Sdng,VinylSd,None,0.0,3,PConc,3,658,3,1,1184,3,8,0,NA,0,0,0,None,WD,AdjLand,81000,151,1,96,10,0.0
387,80,RL,72.0,7200,Reg,Lvl,Inside,Edwards,Norm,1Fam,SLvl,6,Hip,MetalSd,MetalSd,BrkFace,255.0,3,CBlock,3,1041,5,1,1125,3,6,2,Detchd,1,1,3,TA,WD,Abnorml,125000,296,2,33,33,32.0
388,20,RL,93.0,9382,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,125.0,4,PConc,4,1468,5,1,1479,4,6,0,Attchd,2,2,3,TA,WD,Normal,191000,145,2,9,8,9.0
389,60,RL,96.0,12474,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,10,Gable,VinylSd,VinylSd,Stone,272.0,5,PConc,5,1682,5,1,2332,5,9,5,BuiltIn,3,3,3,TA,New,Partial,426000,330,4,1,0,0.0
390,50,RL,50.0,8405,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,861,5,1,1367,3,7,0,Detchd,1,1,3,TA,WD,Normal,119000,242,2,108,58,30.0
391,60,RL,71.0,12209,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,5,804,5,1,1961,4,7,3,BuiltIn,3,2,3,TA,WD,Normal,215000,317,4,8,7,8.0
392,20,RL,76.46236559139786,8339,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,3,Slab,0,0,3,1,882,3,5,0,Attchd,2,1,3,TA,WD,Normal,106500,0,1,48,48,48.0
393,30,RL,57.509803921568626,7446,Reg,Lvl,Corner,BrkSide,Feedr,1Fam,1Story,4,Gable,WdShing,Wd Shng,None,0.0,3,CBlock,3,788,3,1,788,3,4,3,NA,0,0,0,None,WD,Abnorml,100000,0,1,65,56,0.0
394,50,RL,60.0,10134,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,735,4,1,1034,3,5,0,Detchd,1,1,3,TA,WD,Normal,109000,39,1,67,57,67.0
395,20,RL,68.0,9571,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1144,3,1,1144,3,6,0,Attchd,1,1,3,TA,WD,Normal,129000,44,2,54,54,54.0
396,20,RL,60.0,7200,Reg,Low,Inside,CollgCr,Norm,1Fam,1Story,5,Hip,MetalSd,MetalSd,None,0.0,3,CBlock,3,894,3,1,894,3,6,0,Detchd,2,2,3,TA,WD,Normal,123000,215,1,37,37,24.0
397,60,RL,69.0,7590,Reg,Lvl,Inside,NAmes,PosN,1Fam,2Story,5,Gable,VinylSd,VinylSd,BrkFace,288.0,3,CBlock,3,864,3,1,1812,3,8,3,Attchd,2,1,3,TA,WD,Normal,169500,168,2,45,45,45.0
398,30,RM,60.0,8967,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,2,961,4,1,1077,3,6,0,Detchd,1,1,1,Po,WD,Abnorml,67000,0,1,87,57,87.0
399,60,FV,65.0,8125,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,Gable,CemntBd,CmentBd,Stone,100.0,4,PConc,4,1092,5,1,1550,4,7,0,Attchd,3,2,3,TA,WD,Normal,241000,168,3,3,2,2.0
400,120,RL,38.0,14963,IR2,Lvl,Inside,Veenker,Norm,TwnhsE,1Story,8,Gable,BrkFace,BrkFace,None,0.0,4,PConc,4,1260,5,1,1288,5,4,4,Attchd,3,2,3,TA,WD,Normal,245500,374,3,12,12,12.0
401,20,RL,65.0,8767,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1310,5,1,1310,4,6,4,Attchd,3,2,3,TA,New,Partial,164990,0,2,1,1,1.0
402,30,RL,60.0,10200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,672,5,1,672,3,4,0,Detchd,1,1,3,TA,WD,Normal,108000,168,1,68,11,68.0
403,60,RL,93.0,12090,Reg,Lvl,Corner,NoRidge,Norm,1Fam,2Story,8,Hip,VinylSd,VinylSd,BrkFace,650.0,4,PConc,4,1141,4,1,2263,4,10,3,BuiltIn,3,2,3,TA,WD,Abnorml,258000,267,3,8,8,8.0
404,60,RL,79.87755102040816,10364,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,MetalSd,MetalSd,None,0.0,3,PConc,4,806,4,1,1572,3,7,3,BuiltIn,3,2,3,TA,WD,Normal,168000,40,3,12,11,12.0
405,20,RL,74.4375,9991,IR1,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,4,Gable,Plywood,Plywood,None,0.0,3,CBlock,3,1281,5,1,1620,3,8,3,Attchd,1,2,3,TA,WD,Normal,150000,198,3,33,16,16.0
406,50,RL,51.0,10480,Reg,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1064,5,1,1639,3,6,0,Detchd,1,1,3,TA,WD,Normal,115000,0,1,72,58,72.0
407,70,RL,63.0,15576,Reg,Lvl,Inside,Crawfor,Norm,1Fam,2Story,6,Gable,Wd Sdng,Plywood,None,0.0,3,BrkTil,4,840,5,1,1680,3,8,0,Attchd,1,1,3,TA,WD,Normal,177000,160,2,93,32,48.0
408,60,RL,109.0,14154,Reg,Lvl,Corner,NridgHt,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,350.0,4,PConc,5,1063,5,1,2172,4,9,4,Attchd,2,3,3,TA,New,Partial,280000,254,3,1,1,1.0
409,60,FV,85.0,10800,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,Stone,100.0,4,PConc,5,1034,5,1,2078,5,8,4,Attchd,3,3,3,TA,New,Partial,339750,102,4,1,0,0.0
410,20,RL,68.0,9571,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,BrkComm,Brk Cmn,None,0.0,3,CBlock,3,1276,3,1,1276,3,5,0,Attchd,1,1,3,TA,COD,Abnorml,60000,0,1,51,51,51.0
411,190,RL,100.0,34650,Reg,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1056,3,0,1056,3,5,0,Attchd,3,2,3,TA,WD,Normal,145000,264,2,51,51,51.0
412,20,FV,64.66666666666667,4403,IR2,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,MetalSd,MetalSd,Stone,432.0,5,PConc,5,1470,5,1,1478,4,7,4,Attchd,3,2,3,TA,New,Partial,222000,144,4,1,1,1.0
413,30,RM,56.0,8960,Reg,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,0.0,3,CBlock,3,1008,4,1,1028,3,5,4,Detchd,1,2,3,TA,WD,Normal,115000,130,1,83,60,83.0
414,60,RL,59.0,11228,IR2,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1080,5,1,2097,4,9,3,Attchd,1,3,3,TA,WD,Normal,228000,383,4,15,15,15.0
415,20,RL,73.0,8899,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1340,5,1,1340,4,6,0,Attchd,3,2,3,TA,New,Partial,181134,130,2,0,0,0.0
416,60,RL,74.0,7844,Reg,Lvl,Inside,Sawyer,Norm,1Fam,2Story,6,Hip,HdBoard,HdBoard,BrkFace,203.0,3,CBlock,3,672,3,1,1400,3,6,3,Attchd,3,2,3,TA,WD,Normal,149500,0,2,28,28,28.0
417,70,RL,86.0,22420,IR1,Lvl,Inside,Crawfor,Feedr,1Fam,2Story,6,Hip,Wd Sdng,Stucco,None,0.0,3,BrkTil,4,1370,3,0,2624,3,10,4,Detchd,1,3,3,TA,WD,Normal,239000,0,4,89,57,89.0
418,50,RL,60.0,8160,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,756,2,0,1134,3,7,0,Detchd,1,1,3,TA,WD,AdjLand,126000,0,3,67,57,67.0
419,20,RL,65.0,8450,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,3,1056,5,1,1056,3,6,2,Attchd,1,1,3,TA,WD,Normal,142000,269,2,42,42,42.0
420,90,RM,78.0,7060,Reg,Lvl,Inside,Mitchel,Norm,Duplex,SFoyer,7,Gable,VinylSd,VinylSd,BrkFace,200.0,3,PConc,4,1344,5,1,1344,3,8,0,Attchd,3,4,3,TA,WD,Alloca,206300,0,4,11,10,11.0
421,20,RL,81.28888888888889,16635,IR1,Lvl,FR2,NWAmes,Norm,1Fam,1Story,6,Gable,CemntBd,CmentBd,Stone,126.0,4,CBlock,4,1602,4,1,1602,4,8,3,Attchd,3,2,3,TA,WD,Normal,215000,240,3,32,9,32.0
422,20,RL,100.0,21750,Reg,HLS,Inside,Mitchel,Artery,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,0.0,3,CBlock,3,988,5,1,988,3,4,0,Attchd,2,2,3,TA,WD,Normal,113000,0,1,54,54,54.0
423,60,RL,80.0,9200,Reg,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,473.0,4,PConc,4,1470,4,1,2630,4,8,3,Attchd,3,3,3,TA,WD,Normal,315000,66,4,10,10,10.0
424,20,RL,72.0,9000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,74.0,3,CBlock,4,1196,4,1,1196,3,6,4,Attchd,2,1,3,TA,WD,Normal,139000,44,2,52,52,52.0
425,60,RM,60.0,3378,Reg,HLS,Inside,OldTown,Norm,1Fam,2Story,7,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,3,651,4,1,1389,3,6,4,Detchd,1,1,3,TA,WD,Normal,135000,126,2,63,17,62.0
426,80,RL,71.5,12800,Reg,Low,Inside,SawyerW,Norm,1Fam,SLvl,7,Gable,Wd Sdng,Wd Sdng,BrkFace,145.0,4,PConc,4,1518,4,1,1644,4,5,3,Attchd,3,2,3,TA,WD,Normal,275000,476,4,20,20,20.0
427,20,RL,77.0,8593,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Hip,MetalSd,MetalSd,None,0.0,3,CBlock,3,907,5,1,907,3,5,0,Detchd,1,1,3,TA,WD,Normal,109008,0,1,51,51,44.0
428,20,RL,64.0,6762,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,108.0,4,PConc,4,1208,5,1,1208,4,6,0,Attchd,2,2,3,TA,New,Partial,195400,159,3,0,0,0.0
429,20,RL,130.0,11457,IR1,Lvl,Corner,Timber,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,4,1392,3,1,1412,4,6,3,Attchd,1,2,3,TA,WD,Normal,175000,169,3,21,21,21.0
430,160,RM,21.0,1680,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,232.0,3,CBlock,3,483,3,1,987,3,4,0,Detchd,1,1,3,TA,COD,Abnorml,85400,0,2,37,37,37.0
431,50,RM,60.0,5586,IR1,Bnk,Inside,OldTown,Feedr,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,901,4,1,1198,3,7,0,NA,0,0,0,None,ConLD,Abnorml,79900,98,1,88,10,0.0
432,160,RM,24.0,1920,Reg,Lvl,Inside,BrDale,Norm,TwnhsE,2Story,5,Gable,HdBoard,HdBoard,BrkFace,376.0,3,CBlock,3,765,5,1,1365,3,6,0,Detchd,1,2,3,TA,WD,Normal,122500,276,3,36,36,36.0
433,60,RL,100.0,10839,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,926,5,1,1604,3,7,3,Attchd,3,2,3,TA,WD,Normal,181000,36,3,11,10,11.0
434,180,RM,21.0,1890,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SFoyer,4,Gable,CemntBd,CmentBd,None,0.0,3,CBlock,4,630,4,1,630,3,3,0,NA,0,0,0,None,WD,Normal,81000,88,2,36,36,0.0
435,60,RL,43.0,10667,IR2,Lvl,CulDSac,CollgCr,PosN,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,799,5,1,1661,4,6,3,Attchd,2,2,3,TA,ConLw,Normal,212000,219,4,13,13,13.0
436,50,RM,40.0,4400,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,6,Gable,Stucco,Stucco,None,0.0,3,BrkTil,2,648,3,1,1118,3,6,0,Detchd,1,2,3,TA,WD,Normal,116000,0,1,86,56,16.0
437,45,RM,50.0,6000,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Unf,6,Gable,Wd Sdng,Wd Sdng,None,0.0,4,PConc,3,884,4,1,904,3,4,0,Detchd,1,1,3,TA,WD,Normal,119000,105,1,83,5,83.0
438,30,RL,40.0,4280,Reg,Lvl,Inside,Crawfor,Norm,1Fam,1Story,5,Gable,WdShing,Stucco,None,0.0,3,PConc,3,440,3,0,694,4,4,4,Detchd,1,1,4,TA,WD,Normal,90350,34,1,94,5,17.0
439,50,RL,67.0,12354,Reg,Lvl,Corner,Edwards,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,684,4,1,1196,4,7,0,Detchd,1,2,3,TA,ConLI,Normal,110000,46,1,89,9,4.0
440,20,RL,105.0,15431,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,Hip,VinylSd,VinylSd,Stone,200.0,5,PConc,5,3094,5,1,2402,5,10,4,Attchd,3,3,3,TA,WD,Normal,555000,242,3,1,1,1.0
441,90,RL,92.0,12108,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,Gable,VinylSd,VinylSd,BrkFace,270.0,3,CBlock,3,1440,3,0,1440,2,8,0,NA,0,0,0,None,WD,Normal,118000,0,2,53,53,0.0
442,50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,3,PConc,3,1078,3,1,1573,3,8,4,Detchd,1,2,3,TA,WD,Normal,162900,0,2,78,16,78.0
443,120,RL,53.0,3922,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Gable,WdShing,Wd Shng,BrkFace,72.0,4,PConc,5,1258,5,1,1258,4,6,4,Attchd,3,3,3,TA,New,Partial,172500,160,2,1,0,0.0
444,60,RL,70.0,8750,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,915,5,1,1908,4,8,3,Attchd,1,2,3,TA,WD,Normal,210000,277,4,14,13,14.0
445,20,RL,73.0,9855,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1436,2,1,1689,3,7,4,Attchd,1,2,3,TA,COD,Normal,127500,0,1,53,53,53.0
